"","ListID","SpeciesID","Freq"
"1","bronx","Actaea pachypoda",1
"2","bronx","Agrimonia gryposepala",8
"3","bronx","Amaranthus hybridus",1
"4","bronx","Amorpha fruticosa",1
"5","bronx","Anemone americana",2
"6","bronx","Anemone virginiana",1
"7","bronx","Apios americana",1
"8","bronx","Apocynum androsaemifolium",1
"9","bronx","Aquilegia canadensis",3
"10","bronx","Asarum canadense",15
"11","bronx","Asclepias incarnata",1
"12","bronx","Asclepias quadrifolia",1
"13","bronx","Asclepias tuberosa",1
"14","bronx","Astragalus canadensis",1
"15","bronx","Caltha palustris",1
"16","bronx","Calystegia sepium",1
"17","bronx","Cardamine bulbosa",3
"18","bronx","Cardamine pensylvanica",3
"19","bronx","Cardamine rotundifolia",1
"20","bronx","Carya cordiformis",2
"21","bronx","Castanea dentata",3
"22","bronx","Caulophyllum thalictroides",1
"23","bronx","Celastrus scandens",1
"24","bronx","Cenchrus tribuloides",2
"25","bronx","Chamaecrista nictitans",2
"26","bronx","Chamaesyce nutans",1
"27","bronx","Comandra umbellata",1
"28","bronx","Corallorhiza odontorhiza",1
"29","bronx","Cornus florida",1
"30","bronx","Corylus americana",1
"31","bronx","Crotalaria sagittalis",2
"32","bronx","Desmodium canadense",3
"33","bronx","Desmodium dillenii",1
"34","bronx","Desmodium nudiflorum",1
"35","bronx","Desmodium paniculatum",1
"36","bronx","Desmodium perplexum",1
"37","bronx","Dicentra cucullaria",4
"38","bronx","Dichanthelium dichotomum",8
"39","bronx","Digitaria filiformis",1
"40","bronx","Fallopia japonica",1
"41","bronx","Fragaria virginiana",2
"42","bronx","Galium concinnum",1
"43","bronx","Geranium bicknellii",1
"44","bronx","Gleditsia triacanthos",1
"45","bronx","Helianthus giganteus",1
"46","bronx","Hystrix patula",2
"47","bronx","Ilex opaca",1
"48","bronx","Ilex verticillata",8
"49","bronx","Iris versicolor",1
"50","bronx","Juglans cinerea",2
"51","bronx","Juglans nigra",14
"52","bronx","Lathyrus japonicus",1
"53","bronx","Lathyrus palustris",1
"54","bronx","Lepidium virginicum",1
"55","bronx","Lespedeza frutescens",3
"56","bronx","Lespedeza hirta",1
"57","bronx","Lespedeza intermedia",1
"58","bronx","Lespedeza violacea",4
"59","bronx","Lilium canadense",2
"60","bronx","Liriodendron tulipifera",1
"61","bronx","Lithospermum canescens",1
"62","bronx","Lobelia nuttallii",1
"63","bronx","Lonicera sempervirens",1
"64","bronx","Lycopodiella inundata",1
"65","bronx","Lysimachia quadrifolia",1
"66","bronx","Melothria pendula",1
"67","bronx","Micranthes pensylvanica",1
"68","bronx","Nyssa sylvatica",3
